"行","事務所コード","関与先コード","納税者(関与先)","決算月","申請・届出書類名","提出先","電子申請データ作成","電子署名(納税者)","電子署名(税理士)","送信","申請受付日時","即時通知","受信通知","送付書","提出期限","報告書","実践報告","監査担当者"
"251","5121","255","有限会社　アフコメンテナンス","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:52)",,"完了","済"," 4. 6.27(13:25)","正常","正常",,,,"－","山内　龍輝"
"252","5121","131","株式会社　エム・アイ・シー","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:51)",,"完了","済"," 4. 6.27(13:25)","正常","正常",,,,"－","増田　健司"
"253","5121","085","医療法人社団　誠友会","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.24(14:57)",,"完了","済"," 4. 6.27(13:25)","正常","正常",,,,"－","小林　政則"
"254","5121","064","株式会社　天恵グループ","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:51)",,"完了","済"," 4. 6.27(13:25)","正常","正常",,,,"－","山﨑　智之"
"255","5121","050","みどり観光開発　株式会社","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:51)",,"完了","済"," 4. 6.27(13:25)","正常","正常",,,,"－","大神　浩央"
"256","99999","983","株式会社　デジタルスタジオ","2","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 6.16(08:28)",,"完了","済"," 4. 6.24(13:20)","正常","正常",,,"○","－","佐々木　博也"
"257","99999","983","株式会社　デジタルスタジオ","2","異動届出書","税務署"," 4. 6.16(08:39)",,"完了","済"," 4. 6.24(13:20)","正常","正常",,,"○","－","佐々木　博也"
"258","5121","149","株式会社　五石電設工業","6","消費税簡易課税制度選択届出書","税務署"," 4. 6.14(17:03)",,"完了","済"," 4. 6.24(13:20)","正常","正常",,,"○","－","横井　要"
"259","5121","149","株式会社　五石電設工業","6","消費税課税事業者届出書","税務署"," 4. 6.14(17:03)",,"完了","済"," 4. 6.24(13:20)","正常","正常",,,"○","－","横井　要"
"260","15180","975","ｇｌｉｍｐｓｅ","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 6.14(13:21)",,"完了","済"," 4. 6.24(13:20)","正常","正常",,,"○","－","宮奥　千悠"
"261","5121","160","有限会社　タナカ硝子","6","消費税課税事業者届出書","税務署"," 4. 6.23(13:23)",,"完了","済"," 4. 6.24(13:20)","正常","正常",," 4. 6.30","○","－","池上　明日香"
"262","15180","985","岸本　亮義",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:56)",,"完了","済"," 4. 6.23(15:10)","正常","正常","有",,"○","－","加藤　雄也"
"263","15180","591","田本　俊幸",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:38)",,"完了","済"," 4. 6.23(15:10)","正常","正常","有",,"○","－","横井　要"
"264","99999","413","吉岡　勇喜",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:42)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","佐々木　博也"
"265","15180","976","船石　敬大",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:41)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,,"－","佐々木　博也"
"266","15180","746","渕上　瑛士",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:39)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","高橋　健吉"
"267","15180","884","呼坂　敦史",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:40)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","横井　要"
"268","99999","291","藤井　砂久水",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:42)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","高橋　健吉"
"269","15180","498","森　伸二",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:37)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","前田　拓哉"
"270","15180","638","国本　和之",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:38)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","横井　要"
"271","15180","838","鈴川　夏寿美",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:54)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","安田　祥英"
"272","15180","827","木原　誠",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:40)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","岡村　直幸"
"273","15180","820","小川　孝治",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:40)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","杉山　穂波"
"274","15180","072","楠　裕一郎",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:35)",,"完了","済"," 4. 6.23(15:09)","正常","正常","有",,"○","－","横井　要"
"275","99999","784","公益財団法人　廿日市市芸術文化振興事業団","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(20:33)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","河野　秀太"
"276","5121","348","株式会社　Ｋ－ライン","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.16(15:45)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","横井　要"
"277","99999","892","愛商事　有限会社","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.14(16:04)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","山田　健司"
"278","99999","888","アイリアル株式会社","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(17:58)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","山田　健司"
"279","99999","884","有限会社　丸広","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(17:58)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","加藤　雄也"
"280","99999","787","株式会社　みずの","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.14(15:53)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","山田　健司"
"281","99999","598","株式会社　アスリートプレミア","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:58)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","横井　要"
"282","99999","599","株式会社　ひらた","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:58)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","安田　祥英"
"283","99999","699","株式会社　しろがねや","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(13:11)",,"完了","済"," 4. 6.23(15:09)","正常","正常",,,"○","－","山田　健司"
"284","99999","281","又野　芳生",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:56)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","高橋　健吉"
"285","15180","187","田中　一正",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:47)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","林　真理枝"
"286","99999","468","杉本　雅佳",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:42)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","高橋　健吉"
"287","99999","445","森本　亮",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:57)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","佐藤　秀史"
"288","15180","240","渡辺　誠記",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:36)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","安田　祥英"
"289","15180","899","土手　由加杏",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:41)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","飛垣内　恵美子"
"290","15180","952","磯部　宜彦",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:41)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","木村　大介"
"291","15180","023","瀬田　五明",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(11:47)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","山田　健司"
"292","15180","706","阿垣　寿",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:39)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","安田　祥英"
"293","15180","804","吉岡　俊彦",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:39)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","胤森　和樹"
"294","15180","228","橋本　悟",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(12:43)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","林　真理枝"
"295","15180","819","小林　桂詩",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(20:15)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","山口　拓也"
"296","15180","127","前田　実",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:36)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","前田　拓哉"
"297","15180","552","西田　和三",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:37)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","安田　祥英"
"298","15180","572","小野　弥生",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.16(09:43)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","高橋　健吉"
"299","15180","579","西山　信敬",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:38)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","安田　祥英"
"300","15180","118","北受　武司",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(11:44)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","佐々木　博也"
"301","15180","197","溝畑　陽氏",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:36)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","前田　拓哉"
"302","15180","672","森本　敦子",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(12:48)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","高橋　健吉"
"303","15180","384","永岡　誠",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(20:14)",,"完了","済"," 4. 6.23(11:06)","正常","正常","有",,,"－","佐々木　渉"
"304","5121","526","ダイヤホーム　有限会社","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(10:18)",,"完了","済"," 4. 6.23(11:06)","正常","正常",,,,"－","加藤　雄也"
"305","5121","529","株式会社　Ｌａｕｇｈ","1","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(10:20)",,"完了","済"," 4. 6.23(11:06)","正常","正常",,,,"－","加藤　雄也"
"306","99999","596","株式会社　栄縁","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:57)",,"完了","済"," 4. 6.23(11:06)","正常","正常",,,,"－","河野　秀太"
"307","5121","584","株式会社　エデュコム","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.17(10:25)",,"完了","済"," 4. 6.23(11:06)","正常","正常",,,,"－","山田　健司"
"308","5121","386","株式会社　ＹＫＨ","3","（地方）異動届","広島市"," 4. 6.21(09:21)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"309","5121","386","株式会社　ＹＫＨ","3","（地方）異動届","広島県西部県税事務所（広島）"," 4. 6.21(09:21)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"310","5121","386","株式会社　ＹＫＨ","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.21(09:21)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"311","5121","386","株式会社　ＹＫＨ","3","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 6.21(09:21)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"312","5121","386","株式会社　ＹＫＨ","3","異動届出書","税務署"," 4. 6.21(09:21)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"313","15180","785","ソニー生命保険株式会社","12","事業廃止届出書（消費税）","税務署"," 4. 6.21(13:23)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"314","15180","785","ソニー生命保険株式会社","12","個人事業の開業・廃業等届出書","税務署"," 4. 6.21(13:23)",,"完了","済"," 4. 6.22(17:06)","正常","正常",,,,"－","山﨑　智之"
"315","5121","642","株式会社　青山工業","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:30)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","高橋　健吉"
"316","5121","504","明光商事　株式会社","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(17:58)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","岡村　直幸"
"317","5121","958","株式会社　曙光","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:43)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","河野　秀太"
"318","5121","744","加計電装　株式会社","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:34)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","岡村　直幸"
"319","5121","978","合同会社　Ｂｒｏｃｋ","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(20:33)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","高橋　健吉"
"320","5121","877","株式会社　谷村寺社工社","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:40)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","安田　祥英"
"321","5121","700","有限会社　和興空調","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:32)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","岡村　直幸"
"322","5121","119","株式会社　ＬＩＢＥＬＯ","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(11:00)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","佐々木　博也"
"323","5121","715","株式会社　康工業","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:33)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","横井　要"
"324","5121","813","株式会社　ピース","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:37)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","佐々木　博也"
"325","5121","851","株式会社　勝組","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:38)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","横井　要"
"326","5121","777","株式会社　フォーエム","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:36)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","岡村　直幸"
"327","5121","915","株式会社　ＳＴＵＣＫＹ","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:41)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","岡村　直幸"
"328","5121","987","株式会社　クラフト","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:45)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","加藤　雄也"
"329","5121","989","サンライズホームズ　株式会社","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:45)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","河野　秀太"
"330","5121","882","株式会社　オカモト","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:41)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","佐々木　博也"
"331","5121","820","株式会社　カオル観光","1","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:37)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","安田　祥英"
"332","5121","931","株式会社　ｇｒｏｗ　ｐｅｔａｌ","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:42)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","横井　要"
"333","5121","852","ＢｉｚＥａｒｔｈ　株式会社","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:38)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","横井　要"
"334","5121","761","株式会社　双栄","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:35)",,"完了","済"," 4. 6.17(13:32)","正常","正常",,,,"－","佐々木　博也"
"335","5121","858","医療法人社団　鍈紀会","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:39)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","山田　健司"
"336","5121","727","株式会社　わちゃめちゃ","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:34)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","河野　秀太"
"337","5121","960","株式会社　ミウラ","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:44)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"338","5121","632","未来夢　株式会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:30)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","加藤　雄也"
"339","5121","867","株式会社　スマイルフィッシュ","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:39)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","前田　拓哉"
"340","5121","698","株式会社　ネクストアースコーポレーション","1","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:32)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"341","5121","981","有限会社　巴組","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:45)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","木村　大介"
"342","5121","756","曽里舗装　株式会社","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:35)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","河野　秀太"
"343","5121","701","ＤＯ－Ｂｒｏｓ　株式会社","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:33)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","山田　健司"
"344","5121","689","マーティス　株式会社","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:32)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","安田　祥英"
"345","5121","941","安佐北モータース　株式会社","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:42)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","安田　祥英"
"346","5121","652","株式会社　ＡＬＬＥＧＲＡ","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:31)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"347","5121","821","株式会社　こだまどうぶつ病院","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:37)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","加藤　雄也"
"348","5121","830","株式会社　警研社","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:37)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"349","5121","752","株式会社　ヒロツク","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:35)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"350","5121","965","株式会社　藤井企画","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:44)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","高橋　健吉"
"351","5121","217","株式会社　ＮＫ興産","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(18:03)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","安田　祥英"
"352","5121","973","伊藤工業　株式会社","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:44)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","横井　要"
"353","5121","972","株式会社　アイエスワークス","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:44)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","横井　要"
"354","5121","966","株式会社　つかもと養蜂場","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:44)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","河野　秀太"
"355","5121","953","有限会社　正木屋","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:43)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"356","5121","954","Ｈ．Ｃクリーンサービス　株式会社","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:43)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"357","5121","949","株式会社　リバウス","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:43)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","横井　要"
"358","5121","783","株式会社　ＳＫＢ","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:36)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","横井　要"
"359","5121","879","株式会社　オートズファクトリーミト","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:40)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"360","5121","880","日高運送　有限会社","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:41)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","佐々木　博也"
"361","5121","876","有限会社　ＣＡＲＥ","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:40)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","奥谷　佐代子"
"362","5121","871","株式会社　Ｌｕｐｉｎｕｓ","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:40)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","安田　祥英"
"363","5121","870","株式会社　与壱","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:40)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","安田　祥英"
"364","5121","856","エル・キュービック　株式会社","4","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:39)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","岡村　直幸"
"365","5121","849","株式会社　アクティス","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:38)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","三上　貴史"
"366","5121","853","アイティープラス　株式会社","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:39)",,"完了","済"," 4. 6.17(13:31)","正常","正常",,,,"－","佐々木　博也"
"367","5121","748","有限会社　木島商店","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:35)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","岡村　直幸"
"368","5121","775","株式会社　いでした","3","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:36)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","安田　祥英"
"369","5121","707","髪音　株式会社","11","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:33)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","横井　要"
"370","5121","765","株式会社　光","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:36)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","木村　大介"
"371","5121","709","株式会社　きっすい","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:33)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","安田　祥英"
"372","5121","726","株式会社　チウラ","2","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:34)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","岡村　直幸"
"373","5121","926","ドリーム観光　株式会社","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:42)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","安田　祥英"
"374","5121","688","株式会社　Ｂａｔｕｒ","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:32)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","岡村　直幸"
"375","5121","755","株式会社　仁井田造園","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:35)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","佐々木　博也"
"376","5121","725","株式会社　総合美装","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:34)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","木村　大介"
"377","5121","718","合同会社　くすくす","5","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:34)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","横井　要"
"378","5121","629","株式会社　イーコム","12","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:30)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","岡村　直幸"
"379","5121","795","有限会社　カリノ建設","9","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:37)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","横井　要"
"380","5121","670","株式会社　リッシュ・カンパニー","7","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:31)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","三上　貴史"
"381","5121","683","株式会社　アンジュ","8","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(16:32)",,"完了","済"," 4. 6.17(13:30)","正常","正常",,,,"－","三上　貴史"
